overall_rating,difficulty,prior_interest,chili_pepper,gender,years_since_phd
1.86440677966102,3.72881355932203,2.34042553191489,cold,Male,50
4.74074074074074,2.40740740740741,3.63157894736842,cold,Male,10
4.19444444444444,3.83333333333333,4.30434782608696,cold,Male,24
2.73809523809524,3.85714285714286,3.7,cold,Male,25
3.13492063492063,3.19047619047619,2.53061224489796,cold,Male,41
1.27272727272727,2.36363636363636,2.83333333333333,cold,Male,42
2.57291666666667,3.58333333333333,2.72916666666667,cold,Male,54
3.23913043478261,3.78260869565217,3.25,cold,Male,20
3,1.8695652173913,2.8695652173913,cold,Male,35
3.62857142857143,3.17142857142857,2.81818181818182,cold,Male,13
4.36046511627907,3.02325581395349,3.81818181818182,cold,Male,33
1.4047619047619,4.66666666666667,2.375,cold,Female,16
4.7,3.35,4.27272727272727,hot,Male,6
3.83928571428571,3.07142857142857,3.36842105263158,cold,Male,16
4.421875,2.21875,3.45454545454545,cold,Male,19
3.86842105263158,2.07894736842105,4.31578947368421,cold,Female,18
4.39705882352941,2.61764705882353,2.88888888888889,hot,Male,11
1.98076923076923,3.97692307692308,2.54285714285714,cold,Male,32
2.86567164179104,3.80597014925373,3.5,cold,Male,11
2.92857142857143,3.96428571428571,3.3125,cold,Male,11
4.18032786885246,3.27868852459016,3.07894736842105,cold,Male,16
3.75,3.35,3.86666666666667,hot,Male,8
2.81034482758621,3.62068965517241,3.85714285714286,hot,Male,25
1.94,3.64,2.66666666666667,cold,Male,41
3.85398230088496,3.85840707964602,3.31325301204819,cold,Male,32
2.9,3.35,3.36363636363636,cold,Male,30
2.18,4.16,2.625,hot,Male,13
3.16216216216216,2.68918918918919,3.3,cold,Male,30
3.15,3.2,2.84615384615385,cold,Male,25
2.54545454545455,3.63636363636364,3,cold,Female,6
3.07142857142857,3.9047619047619,2.78571428571429,cold,Male,32
2.16949152542373,4.49152542372881,3.8,cold,Female,21
4.23333333333333,3.33333333333333,3.84,cold,Male,32
3.4,2.6,2.85714285714286,cold,Male,50
3.21739130434783,3.47826086956522,2.92857142857143,cold,Male,30
4.625,2.85,4.31818181818182,hot,Male,32
1.68,4.28,2.15789473684211,cold,Male,32
4.51470588235294,2.67647058823529,3.95833333333333,cold,Female,23
3.01136363636364,3.59090909090909,3.32,cold,Male,25
4.16071428571429,3.25,3.64285714285714,cold,Male,9
3.03571428571429,4.07142857142857,3.19047619047619,cold,Male,11
4.67647058823529,2.32352941176471,4,cold,Female,42
2.07407407407407,4.18518518518519,2.57894736842105,cold,Male,19
3.69642857142857,2.39285714285714,3.23076923076923,cold,Male,31
3.08571428571429,3.12857142857143,3.125,cold,Male,46
3.75324675324675,2.67532467532468,2.97115384615385,cold,Male,34
3.575,2.2,3.29411764705882,cold,Male,13
3.41304347826087,3.26086956521739,3.45454545454545,cold,Male,9
2.28378378378378,4.59459459459459,3.83333333333333,cold,Male,28
3.55,3.23333333333333,4,cold,Male,18
4.5,2.125,3.42105263157895,cold,Male,31
2.70238095238095,3.23809523809524,3.23076923076923,cold,Male,17
4.62264150943396,4.11320754716981,3.56756756756757,hot,Male,15
4.01388888888889,4.25,3.21739130434783,cold,Male,31
4.04411764705882,3.85294117647059,3.78947368421053,cold,Female,13
3.95238095238095,3.47619047619048,3.61538461538462,cold,Male,22
3.91666666666667,3.11111111111111,3.18840579710145,cold,Male,51
2.8921568627451,3.41176470588235,3.15151515151515,cold,Male,32
3.04878048780488,2.39024390243902,3.5,cold,Male,57
3.44,3.52,3.17647058823529,cold,Male,38
3.95238095238095,2.66666666666667,3,cold,Male,26
4.81818181818182,3.27272727272727,3.0952380952381,hot,Male,28
4.53508771929825,2.73684210526316,3.67567567567568,cold,Male,26
3.35555555555556,4,3.23076923076923,cold,Male,22
2.9,4.4,3.69230769230769,cold,Male,31
3.26315789473684,4.13157894736842,3,hot,Male,27
4.04545454545455,2.77272727272727,3.21428571428571,hot,Male,7
3,3.73913043478261,2.8,cold,Male,6
2.74576271186441,4.45762711864407,3.22222222222222,cold,Male,43
